Gene	# Mut	#	Freq
OR2M4	10	10	1.62%
PTPN6	11	10	1.62%
SERPINB12	12	10	1.62%
OR4K1	10	10	1.62%
DKC1	10	10	1.62%
FIP1L1	11	10	1.62%
OR2Z1	10	10	1.62%
RAB5C	12	10	1.62%
OR8I2	10	10	1.62%
H3F3C	12	10	1.62%
PARP3	10	10	1.62%
OPN1LW	12	10	1.62%
LIM2	10	10	1.62%
KRTAP1-5	11	10	1.62%
ELP2	10	10	1.62%
ELK4	10	10	1.62%
STK40	11	10	1.62%
RPA1	11	10	1.62%
OR2T33	9	9	1.45%
ETV4	9	9	1.45%
MDM2	9	9	1.45%
OR2T4	10	9	1.45%
FANCC	9	9	1.45%
OR5J2	9	9	1.45%
FGF12	9	9	1.45%
OR8U1	9	9	1.45%
PHLDA1	9	9	1.45%
OR4C6	9	9	1.45%
ICK	9	9	1.45%
OR5R1	9	9	1.45%
OR5M8	9	9	1.45%
HOOK3	9	9	1.45%
SNAP25	10	9	1.45%
PAG1	9	9	1.45%
MYOD1	9	9	1.45%
CAPSL	10	9	1.45%
CALML5	9	9	1.45%
MALT1	10	9	1.45%
KHDC3L	9	9	1.45%
SYK	9	9	1.45%
OR6T1	9	9	1.45%
OR5F1	9	9	1.45%
NPPB	9	9	1.45%
UBE2NL	10	9	1.45%
EML4	11	9	1.45%
NTHL1	9	9	1.45%
RFWD2	9	9	1.45%
OR5A1	10	9	1.45%
FAF1	9	9	1.45%
ATP1B4	9	9	1.45%
OR2T6	9	9	1.45%
OR52N2	9	9	1.45%
OR52N5	9	9	1.45%
HIST1H1E	9	9	1.45%
OR4B1	10	9	1.45%
OR52M1	12	9	1.45%
OR52K2	9	9	1.45%
TOP1	9	9	1.45%
OR52B6	9	9	1.45%
CDK8	9	9	1.45%
OR5D16	9	9	1.45%
OR5T1	10	9	1.45%
OR5T3	9	9	1.45%
PATZ1	11	9	1.45%
HOXA11	10	9	1.45%
U2AF1	9	9	1.45%
HOXD11	10	9	1.45%
SAMM50	9	9	1.45%
CRTC3	9	9	1.45%
IBSP	10	9	1.45%
PPARG	9	9	1.45%
CRYBA4	9	9	1.45%
OR4A16	11	9	1.45%
IKBKB	9	9	1.45%
RPL10L	9	9	1.45%
PRSS8	9	9	1.45%
OR10J3	9	9	1.45%
OR13C4	9	9	1.45%
OR13F1	10	9	1.45%
IRF1	9	9	1.45%
IRF4	9	9	1.45%
DAXX	9	9	1.45%
MSI2	9	9	1.45%
OR2L2	10	9	1.45%
PAX8	9	9	1.45%
MAFB	9	9	1.45%
SESN2	12	9	1.45%
KIF5B	9	9	1.45%
OR5K1	10	9	1.45%
GOPC	9	9	1.45%
MRGPRD	9	9	1.45%
ZNF300	9	9	1.45%
REL	9	9	1.45%
OR2A5	10	9	1.45%
RIT1	9	9	1.45%
LGR6	9	9	1.45%
LEF1	9	9	1.45%
OR2M7	9	8	1.29%
ETV1	8	8	1.29%
IKZF1	8	8	1.29%
TFG	8	8	1.29%
FANCF	8	8	1.29%
HIST1H2BI	8	8	1.29%
OR1A1	8	8	1.29%
KRTAP5-3	8	8	1.29%
FLI1	8	8	1.29%
IKZF3	8	8	1.29%
FLYWCH1	8	8	1.29%
TMEM190	9	8	1.29%
SGK1	8	8	1.29%
SH3GL1	8	8	1.29%
FAS	8	8	1.29%
DKK1	8	8	1.29%
DUSP21	9	8	1.29%
HIST1H2AA	8	8	1.29%
SMARCD1	9	8	1.29%
PRDM14	9	8	1.29%
MUTYH	8	8	1.29%
TNFSF9	8	8	1.29%
STK26	8	8	1.29%
GATA1	9	8	1.29%
STAT4	8	8	1.29%
NF2	8	8	1.29%
BTK	8	8	1.29%
BUB1B	8	8	1.29%
CLP1	8	8	1.29%
OR8D4	9	8	1.29%
NPY	8	8	1.29%
RAB35	8	8	1.29%
OMD	8	8	1.29%
LCE1C	8	8	1.29%
TGFBR1	10	8	1.29%
OR51B6	8	8	1.29%
HIST1H1C	9	8	1.29%
OR52E4	10	8	1.29%
TMPRSS2	8	8	1.29%
PCM1	9	8	1.29%
CDKN2A	10	8	1.29%
MNX1	8	8	1.29%
OR4D9	8	8	1.29%
TLX1	8	8	1.29%
OR1K1	9	8	1.29%
CREB3L2	10	8	1.29%
OR5B3	9	8	1.29%
MAGED1	8	8	1.29%
OR4N5	8	8	1.29%
EI24	8	8	1.29%
OR4Q3	8	8	1.29%
XPA	8	8	1.29%
IGHV1OR21-1	8	8	1.29%
IL21R	9	8	1.29%
PRKCI	8	8	1.29%
SPATA25	9	8	1.29%
OR2G2	10	8	1.29%
OR2B6	9	8	1.29%
CDC73	8	8	1.29%
RAP1GDS1	8	8	1.29%
IGHV3-16	8	8	1.29%
DTX1	10	8	1.29%
PARP2	8	8	1.29%
DUSP9	9	8	1.29%
LASP1	8	8	1.29%
LCK	8	8	1.29%
EIF4A2	8	8	1.29%
METTL21C	10	8	1.29%
SPRED1	8	8	1.29%
TRBC2	8	8	1.29%
LYN	9	8	1.29%
MAX	7	7	1.13%
MDM4	7	7	1.13%
ZNF331	8	7	1.13%
HIST1H2BM	7	7	1.13%
HIST1H2BE	7	7	1.13%
HIST1H3C	7	7	1.13%
MIB1	7	7	1.13%
FGF10	7	7	1.13%
AKT2	7	7	1.13%
FGF14	7	7	1.13%
SPOP	7	7	1.13%
FH	7	7	1.13%
RAD54L	7	7	1.13%
SDHC	7	7	1.13%
MPL	7	7	1.13%
FOXO1	7	7	1.13%
OR4S2	8	7	1.13%
BIRC2	7	7	1.13%
PYDC1	8	7	1.13%
SKP2	7	7	1.13%
ARAF	7	7	1.13%
RHOH	7	7	1.13%
SLPI	7	7	1.13%
CCT6B	7	7	1.13%
TMEM30A	7	7	1.13%
CCNB1IP1	8	7	1.13%
OR51V1	9	7	1.13%
MYCL	7	7	1.13%
SOX4	8	7	1.13%
ARHGAP26	8	7	1.13%
BARD1	8	7	1.13%
GOLPH3	7	7	1.13%
BCL2L1	7	7	1.13%
SOCS2	7	7	1.13%
NFE2L2	9	7	1.13%
FUBP1	7	7	1.13%
RBMX	7	7	1.13%
BCL10	8	7	1.13%
ICOSLG	7	7	1.13%
FGFR1OP	7	7	1.13%
LCE1F	7	7	1.13%
INSL6	7	7	1.13%
NKX2-1	7	7	1.13%
PAK1	7	7	1.13%
CD58	8	7	1.13%
CD79A	7	7	1.13%
HDAC2	8	7	1.13%
HIF1A	7	7	1.13%
HLF	7	7	1.13%
HOXC11	8	7	1.13%
ASPSCR1	7	7	1.13%
WWTR1	7	7	1.13%
XRCC2	7	7	1.13%
VMO1	7	7	1.13%
CRYGA	7	7	1.13%
OR6C2	8	7	1.13%
ZNF132	8	7	1.13%
IGHV4OR15-8	7	7	1.13%
RAD51D	7	7	1.13%
TFEB	7	7	1.13%
DUSP4	7	7	1.13%
FANCL	7	7	1.13%
LFNG	7	7	1.13%
SHQ1	7	7	1.13%
RNASE3	7	7	1.13%
ARFRP1	7	7	1.13%
OR10K2	8	7	1.13%
LHFP	7	7	1.13%
YY1AP1	7	7	1.13%
GPHN	6	6	0.97%
EPS15	6	6	0.97%
KRTAP13-3	6	6	0.97%
KRTAP19-5	6	6	0.97%
MEF2A	6	6	0.97%
IGLV2-8	6	6	0.97%
HIST1H2BC	7	6	0.97%
HIST1H4G	6	6	0.97%
FOXO4	6	6	0.97%
AKT1	6	6	0.97%
HOXB13	6	6	0.97%
CUL4A	6	6	0.97%
SESN3	6	6	0.97%
DKK3	6	6	0.97%
FRS2	6	6	0.97%
PNRC1	6	6	0.97%
COX4I2	6	6	0.97%
CALR	6	6	0.97%
GSK3B	6	6	0.97%
OR3A1	8	6	0.97%
RSPO3	6	6	0.97%
DCUN1D1	6	6	0.97%
HIST1H1T	6	6	0.97%
OR4C46	8	6	0.97%
TNFAIP6	6	6	0.97%
AJUBA	6	6	0.97%
AURKB	6	6	0.97%
CDK6	6	6	0.97%
TPM3	7	6	0.97%
CDKN1B	6	6	0.97%
QRFP	6	6	0.97%
PDK1	6	6	0.97%
CHEK1	7	6	0.97%
HNRNPA2B1	7	6	0.97%
SPANXD	6	6	0.97%
TFPT	6	6	0.97%
SPANXC	6	6	0.97%
HOXD13	6	6	0.97%
PRRX1	6	6	0.97%
TLX3	6	6	0.97%
IFNA5	6	6	0.97%
CRKL	6	6	0.97%
IFNGR1	7	6	0.97%
ZNF24	6	6	0.97%
PRM1	6	6	0.97%
PRM2	6	6	0.97%
NUF2	6	6	0.97%
KEAP1	8	6	0.97%
IGHV3OR16-9	6	6	0.97%
CLDN17	7	6	0.97%
FAM209B	7	6	0.97%
RAD21	6	6	0.97%
CYSLTR2	6	6	0.97%
VTI1A	6	6	0.97%
LDHA	6	6	0.97%
TBL1XR1	6	6	0.97%
TRIM7	6	6	0.97%
HSPB9	6	6	0.97%
RPL5	6	6	0.97%
IFNL3	6	6	0.97%
ACVR1	5	5	0.81%
IGLV6-57	5	5	0.81%
SPATA45	5	5	0.81%
HIST1H2BO	5	5	0.81%
YAP1	5	5	0.81%
CDC42EP2	5	5	0.81%
FGF7	6	5	0.81%
IGKV1D-43	5	5	0.81%
IGKV1D-42	5	5	0.81%
IGKV3-11	5	5	0.81%
SEMG1	5	5	0.81%
IGKV1-9	5	5	0.81%
RRAS2	5	5	0.81%
ARNT	5	5	0.81%
MTAP	5	5	0.81%
RSPO2	5	5	0.81%
SUFU	5	5	0.81%
DKK4	8	5	0.81%
SOX2	5	5	0.81%
FNBP1	5	5	0.81%
TNFRSF17	5	5	0.81%
SSX1	5	5	0.81%
STK11	5	5	0.81%
FOXL2	5	5	0.81%
AADACL2	5	5	0.81%
JAZF1	5	5	0.81%
GNAQ	6	5	0.81%
NONO	5	5	0.81%
GPS2	5	5	0.81%
DEFB136	5	5	0.81%
LCE1D	5	5	0.81%
RYBP	5	5	0.81%
SYNGR2	5	5	0.81%
HIST1H1D	5	5	0.81%
CD70	6	5	0.81%
CDKN1A	5	5	0.81%
TRAF5	5	5	0.81%
FOXA1	5	5	0.81%
PIM1	5	5	0.81%
HRAS	5	5	0.81%
SMYD3	5	5	0.81%
MAPKAP1	5	5	0.81%
YES1	5	5	0.81%
CREB1	5	5	0.81%
IGF2	5	5	0.81%
FEV	6	5	0.81%
INHA	6	5	0.81%
FAM46C	5	5	0.81%
CST11	5	5	0.81%
DDB2	5	5	0.81%
HIST1H2BA	5	5	0.81%
POGLUT1	5	5	0.81%
CXCR4	5	5	0.81%
IL21	6	5	0.81%
IGHV5-51	5	5	0.81%
IGHV4-4	5	5	0.81%
RAC2	5	5	0.81%
RAD51C	5	5	0.81%
RAD51B	5	5	0.81%
RAD52	5	5	0.81%
RARA	5	5	0.81%
IGHV3-20	5	5	0.81%
IGHV3-15	5	5	0.81%
BCL2L11	5	5	0.81%
IGHV1-45	5	5	0.81%
E2F3	5	5	0.81%
TRBV25-1	5	5	0.81%
TCL1A	5	5	0.81%
TRBV5-1	6	5	0.81%
AAMP	4	4	0.65%
KRTAP19-4	4	4	0.65%
HIST1H2AK	4	4	0.65%
IGLV2-11	4	4	0.65%
IGLV1-51	4	4	0.65%
IGLV1-36	4	4	0.65%
HIST1H3A	4	4	0.65%
HIST1H3I	4	4	0.65%
HIST1H3J	4	4	0.65%
HIST1H4B	4	4	0.65%
FAM175A	4	4	0.65%
FGF4	4	4	0.65%
TEX43	4	4	0.65%
IGKV1-16	5	4	0.65%
RHOA	4	4	0.65%
C2ORF44	5	4	0.65%
ATF1	4	4	0.65%
ATIC	4	4	0.65%
GADD45B	4	4	0.65%
EED	4	4	0.65%
MT4	4	4	0.65%
BMPR1A	4	4	0.65%
NKX3-1	4	4	0.65%
HIST1H2BJ	4	4	0.65%
MEF2B	4	4	0.65%
CBFB	4	4	0.65%
CCNE1	4	4	0.65%
CD36	5	4	0.65%
HIST1H2BD	4	4	0.65%
CD79B	4	4	0.65%
TNP1	4	4	0.65%
KRTAP15-1	4	4	0.65%
CENPA	4	4	0.65%
FOXA2	5	4	0.65%
CHN1	4	4	0.65%
IGHV3OR16-8	4	4	0.65%
NEGR1	4	4	0.65%
VEGFA	4	4	0.65%
CNRIP1	4	4	0.65%
IGF1	4	4	0.65%
CTLA4	4	4	0.65%
MAPK1	4	4	0.65%
MAPK3	4	4	0.65%
MAP2K2	4	4	0.65%
HERPUD1	4	4	0.65%
PTPN22	4	4	0.65%
DDX6	4	4	0.65%
PTP4A1	4	4	0.65%
KLK2	4	4	0.65%
IGHV3-73	4	4	0.65%
CARD17	4	4	0.65%
IGHV3-35	4	4	0.65%
IGHV3-23	5	4	0.65%
IGHV3-13	4	4	0.65%
IGHV1-2	5	4	0.65%
SHOC2	4	4	0.65%
ESCO2	4	4	0.65%
TRBV20-1	4	4	0.65%
APH1A	4	4	0.65%
LMO1	4	4	0.65%
TRBV10-2	4	4	0.65%
TRBV6-8	4	4	0.65%
TRBV6-6	4	4	0.65%
TRBV6-5	4	4	0.65%
TRAV27	4	4	0.65%
TRAV25	4	4	0.65%
TRAV17	4	4	0.65%
KRTAP6-2	3	3	0.48%
KRTAP19-6	3	3	0.48%
KRTAP20-1	3	3	0.48%
RPS14	3	3	0.48%
HIST1H2AL	3	3	0.48%
DEFB112	3	3	0.48%
HIST1H3G	3	3	0.48%
DEFB113	3	3	0.48%
HIST1H3B	3	3	0.48%
FGF3	3	3	0.48%
FHIT	3	3	0.48%
FOXO3	3	3	0.48%
SRSF2	3	3	0.48%
SRSF3	3	3	0.48%
HIST2H3D	3	3	0.48%
KNSTRN	3	3	0.48%
PHF6	3	3	0.48%
VTA1	3	3	0.48%
MSI1	3	3	0.48%
BABAM1	3	3	0.48%
MTCP1	3	3	0.48%
KDSR	3	3	0.48%
MYD88	3	3	0.48%
BCL7A	3	3	0.48%
SS18	3	3	0.48%
WISP3	3	3	0.48%
STK19	3	3	0.48%
GNA12	3	3	0.48%
HIST1H2AG	3	3	0.48%
ASH2L	3	3	0.48%
CREB3L1	3	3	0.48%
LCE3A	3	3	0.48%
DNAH12	3	3	0.48%
PAFAH1B2	3	3	0.48%
CDC42	3	3	0.48%
CDK4	3	3	0.48%
PDPK1	3	3	0.48%
TYMS	3	3	0.48%
HOXA9	3	3	0.48%
PLAG1	3	3	0.48%
DNAJB1	3	3	0.48%
CCDC160	3	3	0.48%
IL2	3	3	0.48%
IL10	3	3	0.48%
BTG2	3	3	0.48%
TPRX1	3	3	0.48%
DEK	3	3	0.48%
FGF19	3	3	0.48%
RAD51	5	3	0.48%
ABI1	3	3	0.48%
RASGEF1A	3	3	0.48%
TRIM27	3	3	0.48%
EIF1AX	3	3	0.48%
TRBV7-7	3	3	0.48%
EIF2B1	3	3	0.48%
TRBV6-9	3	3	0.48%
LYL1	3	3	0.48%
SH2D1A	3	3	0.48%
EPCAM	3	3	0.48%
CRBN	3	3	0.48%
RPL35A	2	2	0.32%
RPS6KB1	2	2	0.32%
TRAJ26	2	2	0.32%
MCL1	2	2	0.32%
RRAS	2	2	0.32%
PICALM	2	2	0.32%
HIST1H2AC	2	2	0.32%
HIST1H2AM	2	2	0.32%
HIST1H3H	2	2	0.32%
MLF1	3	2	0.32%
IGKV5-2	4	2	0.32%
SDC4	2	2	0.32%
SET	2	2	0.32%
TMEM127	2	2	0.32%
CD274	2	2	0.32%
TNFRSF14	2	2	0.32%
BCL2L2	2	2	0.32%
SESN1	2	2	0.32%
RRAGC	2	2	0.32%
BTG1	2	2	0.32%
NPM1	2	2	0.32%
TCEA1	2	2	0.32%
TRGJP	2	2	0.32%
CCND3	2	2	0.32%
TTL	2	2	0.32%
H3F3B	2	2	0.32%
CDX2	2	2	0.32%
KLF4	2	2	0.32%
HOXA13	2	2	0.32%
GID4	2	2	0.32%
HIST1H2BK	2	2	0.32%
VHL	2	2	0.32%
KLF6	2	2	0.32%
COX6C	2	2	0.32%
XBP1	2	2	0.32%
ID3	2	2	0.32%
POU5F1	2	2	0.32%
XRCC3	2	2	0.32%
CNBP	2	2	0.32%
IGFBP7	2	2	0.32%
PTPN2	2	2	0.32%
RAC1	2	2	0.32%
VTCN1	2	2	0.32%
LMO2	2	2	0.32%
SBDS	2	2	0.32%
TRAV40	3	2	0.32%
OLIG2	2	2	0.32%
RPL11	2	2	0.32%
RPL13	2	2	0.32%
FSTL3	1	1	0.16%
HIST1H3D	1	1	0.16%
FCGR2B	1	1	0.16%
SDHB	1	1	0.16%
SDHD	1	1	0.16%
BTLA	3	1	0.16%
PPP4R2	1	1	0.16%
SOCS1	1	1	0.16%
BBC3	1	1	0.16%
PDCD1LG2	1	1	0.16%
RTEL1	1	1	0.16%
BCL2	1	1	0.16%
CRLF2	1	1	0.16%
NFKBIA	1	1	0.16%
MLLT11	1	1	0.16%
TAL2	1	1	0.16%
HIST1H3F	1	1	0.16%
KMT5A	1	1	0.16%
SERP2	1	1	0.16%
CCND2	1	1	0.16%
HEY1	1	1	0.16%
CD74	1	1	0.16%
TPM4	1	1	0.16%
CDKN2B	1	1	0.16%
CDKN2C	1	1	0.16%
RMI2	1	1	0.16%
POU2AF1	1	1	0.16%
DDIT3	2	1	0.16%
SDHAF2	1	1	0.16%
DUSP2	1	1	0.16%
CHIC2	1	1	0.16%
HMGA2	1	1	0.16%
EIF4E	1	1	0.16%
EIF4EBP1	1	1	0.16%
GREM1	1	1	0.16%
EGFL7	1	1	0.16%
RPL15	1	1	0.16%
